"QueryNum","Question","QueryType","Confidence","LatencyMs","Iterations"
"1","What is retrieval augmented generation?","vector","0.8","5953.53","3"
"2","Explain the attention mechanism in transformers","vector","0.8","3199.73","1"
"3","What are graph neural networks?","vector","0.8","2809.64","1"
"4","Describe the role of embeddings in semantic search","vector","0.8","2364.53","1"
"5","What is the difference between BERT and GPT?","vector","0.8","3068.46","1"
"6","Which authors collaborated on RAG research?","graph","0.0","29133.06","5"
"7","Find all papers related to transformer architecture and their authors","hybrid","0.2","37314.33","5"
"8","Which authors worked on knowledge graph research?","graph","1.0","11057.71","2"
"9","Find documents connected to NLP topics","graph","0.8","11356.51","2"
"10","Which papers are related to language model pre-training?","graph","1.0","5969.49","1"
"11","What did authors working on attention mechanisms contribute to NLP?","hybrid","0.4","29899.52","5"
"12","Find papers about BERT and explain their methodology","hybrid","0.8","7369.08","1"
"13","Which researchers worked on retrieval systems and what did they find?","hybrid","1.0","6053.3","1"
"14","Find all NLP papers and summarize their main topics","hybrid","0.8","16831.79","3"
"15","What connections exist between transformer authors and their research?","graph","0.0","30157.72","5"
